project_name,wb_region,country_/_economy,country_/_economy_lending_group,country_/_economy_fcs_status,country_/_economy_fcs_lending_group,practice_group,global_practice,agreement_type,lending_instrument_type,approval_fy,final_closing_fy,evaluation_type,outcome,quality_at_entry,quality_of_supervision,bank_performance,m&e_quality,evaluation_fy
Pilot Water Supply Project,Europe and Central Asia,Kosovo,IDA,,Other,Sustainable Development,Water,SPF,IPF,2001.0,2005.0,ICRR,Moderately Satisfactory,Unsatisfactory,Satisfactory,Satisfactory,,2006
ZAMBIA RAILWAYS RESTRUCTURING PROJECT,Eastern and Southern Africa,Zambia,IDA,,Other,Infrastructure,Transport,IDA,IPF,2001.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Financial Sector Institution Building Technical Assistance Project,Europe and Central Asia,Albania,IBRD,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,2000.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Transport Project,Europe and Central Asia,Armenia,IBRD,,Other,Infrastructure,Transport,IDA,IPF,2000.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
BJ Distance Learning Project - LIL,Western and Central Africa,Benin,IDA,,Other,Human Development,Education,IDA,IPF,2000.0,2004.0,ICRR,Moderately Satisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,2006
Labor Force Development Project,Western and Central Africa,Benin,IDA,,Other,Human Development,Education,IDA,IPF,2000.0,2005.0,ICRR,Moderately Satisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,2006
Trade & Transport Facilitation in South East Europe,Europe and Central Asia,Bulgaria,IBRD,non-FCS,IBRD non-FCS,Infrastructure,Transport,IBRD,IPF,2000.0,2006.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Education Development Project,Europe and Central Asia,Bosnia and Herzegovina,IBRD,,Other,Human Development,Education,IDA,IPF,2000.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Mostar Water Supply & Sanitation Project,Europe and Central Asia,Bosnia and Herzegovina,IBRD,,Other,Sustainable Development,Water,IDA,IPF,2000.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Pilot Emergency Labor Redeployment Project,Europe and Central Asia,Bosnia and Herzegovina,IBRD,,Other,Human Development,Social Protection & Jobs,IDA,IPF,2000.0,2005.0,ICRR,Moderately Satisfactory,Unsatisfactory,Satisfactory,Satisfactory,,2006
Environmental Management Capacity Building Pilot Project of the Hydrocarbon Sector,Latin America and Caribbean,Bolivia,IBRD,,Other,Infrastructure,Energy & Extractives,IDA,IPF,2000.0,2005.0,ICRR,Unsatisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
BR INSS REF LIL,Latin America and Caribbean,Brazil,IBRD,,Other,"Equitable Growth, Finance and Institutions",Governance,IBRD,IPF,2000.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Pilot Literacy Project,Western and Central Africa,Cote d'Ivoire,Blend,,Other,Human Development,Education,IDA,IPF,2000.0,2005.0,ICRR,Unsatisfactory,Unsatisfactory,Satisfactory,Unsatisfactory,,2006
INTERNATIONAL ROAD CORRIDOR REHABILITATION PROJECT,"Middle East, North Africa, Afghanistan, and Pakist",Djibouti,IDA,FCS,IDA FCS,Infrastructure,Transport,IDA,IPF,2000.0,2006.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
WASTEWATER DISPOSAL IN TOURISM CENTERS PROJECT,Latin America and Caribbean,Dominican Republic,IBRD,,Other,Sustainable Development,Water,IBRD,IPF,2000.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Transport Project,Europe and Central Asia,Estonia,Other,non-FCS,Other,Infrastructure,Transport,IBRD,IPF,2000.0,2006.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
GN-Srvc Delivery CB APL (FY00),Western and Central Africa,Guinea,IDA,,Other,"Equitable Growth, Finance and Institutions",Governance,IDA,IPF,2000.0,2005.0,ICRR,Highly Unsatisfactory,Unsatisfactory,Satisfactory,Unsatisfactory,,2006
ID-DECNT. AGRICULTURAL/FORESTRY EXT,East Asia and Pacific,Indonesia,IBRD,,Other,Infrastructure,"Urban, Resilience and Land",IBRD,IPF,2000.0,2005.0,ICRR,Moderately Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,2006
UTTAR PRADESH POWER SECTOR RESTRUCTURING PROJECT,South Asia,India,IBRD,,Other,Infrastructure,Energy & Extractives,IBRD,IPF,2000.0,2005.0,ICRR,Unsatisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
MG-Transp Sec Reform & Rehab (FY00),Eastern and Southern Africa,Madagascar,IDA,non-FCS,IDA non-FCS,Infrastructure,Transport,IDA,IPF,2000.0,2006.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Cultural Heritage Project,Western and Central Africa,Mauritania,IDA,,Other,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IDA,IPF,2000.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
MR-Iirrigated Agr Integr Dev APL (FY00),Western and Central Africa,Mauritania,IDA,,Other,Infrastructure,"Urban, Resilience and Land",IDA,IPF,2000.0,2005.0,ICRR,Moderately Satisfactory,Unsatisfactory,Highly Satisfactory,Satisfactory,,2006
SMALL TOWNS WATER,Western and Central Africa,Nigeria,Blend,,Other,Sustainable Development,Water,IDA,IPF,2000.0,2004.0,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
NI SECOND BASIC EDUCATION PROJECT,Latin America and Caribbean,Nicaragua,IDA,,Other,Human Development,Education,IDA,IPF,2000.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Pension and Financial Market Reform Technical Assistance Credit,Latin America and Caribbean,Nicaragua,IDA,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,2000.0,2005.0,ICRR,Unsatisfactory,Unsatisfactory,Satisfactory,Unsatisfactory,,2006
MINDANAO RURAL DEVELOPMENT PROJECT,East Asia and Pacific,Philippines,IBRD,non-FCS,IBRD non-FCS,Infrastructure,"Urban, Resilience and Land",IBRD,IPF,2000.0,2006.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Rural Development Project,Europe and Central Asia,Poland,IBRD,,Other,Infrastructure,"Urban, Resilience and Land",IBRD,IPF,2000.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Podhale Geothermal District Heating & Environment Project,Europe and Central Asia,Poland,IBRD,,Other,Infrastructure,Energy & Extractives,IBRD,IPF,2000.0,2005.0,ICRR,Moderately Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,2006
Health System Development Project (TF023455),"Middle East, North Africa, Afghanistan, and Pakist",West Bank and Gaza,Other,,Other,Human Development,"Health, Nutrition & Population",SPF,IPF,2000.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
SECOND MUNICIPAL INFRASTRUCTURE DEVELOPMENT PROJECT,"Middle East, North Africa, Afghanistan, and Pakist",West Bank and Gaza,Other,,Other,Infrastructure,"Urban, Resilience and Land",SPF,IPF,2000.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Trade & Transport Facilitation in Southeast Europe Project (TTFSE),Europe and Central Asia,Romania,IBRD,,Other,Infrastructure,Transport,IBRD,IPF,2000.0,2004.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Primary Health Care Project,Europe and Central Asia,Tajikistan,IDA,,Other,Human Development,"Health, Nutrition & Population",IDA,IPF,2000.0,2005.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
NAT. SOC. FORESTRY I,South Asia,India,IBRD,,Other,Other,Other,IDA,IPF,1985.0,,PPAR,Satisfactory,Unsatisfactory,Satisfactory,Satisfactory,,1998
East Timor Community and Local Governance Project,East Asia and Pacific,Timor-Leste,Blend,,Other,Human Development,Social Protection & Jobs,SPF,IPF,2000.0,2002.0,PPAR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,2006
Agriculture Rehabilitation Project,East Asia and Pacific,Timor-Leste,Blend,,Other,Sustainable Development,Agriculture and Food,SPF,IPF,2000.0,2003.0,PPAR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Health Sector Rehabilitation and Development Project,East Asia and Pacific,Timor-Leste,Blend,,Other,Human Development,"Health, Nutrition & Population",SPF,IPF,2000.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Programmatic Structural Adjustment Credit  CR.no.3379-TA,Eastern and Southern Africa,Tanzania,IDA,,Other,"Equitable Growth, Finance and Institutions",Governance,IDA,DPF,2000.0,2004.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
RURAL& MICRO FIN SVC,Eastern and Southern Africa,Tanzania,IDA,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,2000.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
KIEV PB ENERGY EFFIC,Europe and Central Asia,Ukraine,IBRD,,Other,Infrastructure,Energy & Extractives,IBRD,IPF,2000.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
MILLENNIUM SCIENCE INITIATIVE PROJECT,Latin America and Caribbean,"Venezuela, Republica Bolivariana de",IBRD,,Other,Human Development,Education,IBRD,IPF,2000.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
ZM-PSCAP (FY00),Eastern and Southern Africa,Zambia,IDA,,Other,"Equitable Growth, Finance and Institutions",Governance,IDA,IPF,2000.0,2005.0,ICRR,Moderately Satisfactory,Unsatisfactory,Satisfactory,Unsatisfactory,,2006
Regional Project for the Implmentation of the Strategic Action Program for the Red Sea and Gulf of Aden,"Middle East, North Africa, Afghanistan, and Pakist",Red Sea and Gulf of Aden,Other,,Other,Sustainable Development,"Environment, Natural Resources & the Blue Economy",GEF,IPF,1999.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Microcredit Project,Europe and Central Asia,Albania,IBRD,,Other,Infrastructure,"Urban, Resilience and Land",IDA,IPF,1999.0,2005.0,ICRR,Satisfactory,Satisfactory,Highly Satisfactory,Satisfactory,,2006
Irrigation & Drainage 2 Project,Europe and Central Asia,Albania,IBRD,,Other,Sustainable Development,Water,IDA,IPF,1999.0,2005.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Pilot Reconstruction Project,Europe and Central Asia,Azerbaijan,IBRD,non-FCS,IBRD non-FCS,Infrastructure,"Urban, Resilience and Land",IDA,IPF,1999.0,2006.0,ICRR,Satisfactory,Unsatisfactory,Satisfactory,Satisfactory,,2006
Pilot Private Irrigation Development Project,Western and Central Africa,Burkina Faso,IDA,,Other,Sustainable Development,Water,IDA,IPF,1999.0,2005.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
EXPORT DIVERSIFICATION,South Asia,Bangladesh,IDA,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,1999.0,2004.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Dhaka Urban Transport,South Asia,Bangladesh,IDA,,Other,Infrastructure,Transport,IDA,IPF,1999.0,2005.0,ICRR,Moderately Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,2006
SOUTHERN CONVEYOR II,Europe and Central Asia,Cyprus,Other,,Other,Other,Other,IBRD,IPF,1988.0,,EVM,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1998
Third Road Rehabilitation & Maintenance,South Asia,Bangladesh,IDA,non-FCS,IDA non-FCS,Infrastructure,Transport,IDA,IPF,1999.0,2006.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Cultural Heritage Pilot Project,Europe and Central Asia,Bosnia and Herzegovina,IBRD,,Other,Infrastructure,"Urban, Resilience and Land",IDA,IPF,1999.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Local Development Pilot Project,Europe and Central Asia,Bosnia and Herzegovina,IBRD,,Other,Infrastructure,"Urban, Resilience and Land",IDA,IPF,1999.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
ENT EXP FACIL (BEEF),Europe and Central Asia,Bosnia and Herzegovina,IBRD,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,1999.0,2005.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Animal & Plant Health Protection Project,Latin America and Caribbean,Brazil,IBRD,,Other,Sustainable Development,Agriculture and Food,IBRD,IPF,1999.0,2002.0,ICRR,,,,,,2006
Emergency Fire Prevention & Control Project,Latin America and Caribbean,Brazil,IBRD,,Other,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IBRD,IPF,1999.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Chile: Higher Education Improvement Project,Latin America and Caribbean,Chile,IBRD,,Other,Human Development,Education,IBRD,IPF,1999.0,2005.0,ICRR,Highly Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
China Container Transport Project,East Asia and Pacific,China,IBRD,,Other,Infrastructure,Transport,IBRD,IPF,1999.0,2005.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Anhui Provincial Highway Project,East Asia and Pacific,China,IBRD,non-FCS,IBRD non-FCS,Infrastructure,Transport,IBRD,IPF,1999.0,2006.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
CAPE VERDE - PRIVATIZATION TA PROJECT,Western and Central Africa,Cabo Verde,Blend,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,1999.0,2005.0,ICRR,Moderately Unsatisfactory,Unsatisfactory,Satisfactory,Satisfactory,,2006
Social Sector Development,Western and Central Africa,Cabo Verde,Blend,,Other,Human Development,Social Protection & Jobs,IDA,IPF,1999.0,2005.0,ICRR,Moderately Satisfactory,Unsatisfactory,Satisfactory,Unsatisfactory,,2006
Social Protection Initiatives Project,"Middle East, North Africa, Afghanistan, and Pakist","Egypt, Arab Republic of",IBRD,,Other,Human Development,Social Protection & Jobs,IDA,IPF,1999.0,2005.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Egypt - Private Sector and Agriculture Development,"Middle East, North Africa, Afghanistan, and Pakist","Egypt, Arab Republic of",IBRD,,Other,Sustainable Development,Agriculture and Food,IBRD,IPF,1999.0,2005.0,ICRR,Highly Unsatisfactory,Highly Unsatisfactory,Highly Unsatisfactory,Highly Unsatisfactory,,2006
Third Urban Development Project - First Phase,Western and Central Africa,Guinea,IDA,,Other,Infrastructure,"Urban, Resilience and Land",IDA,IPF,1999.0,2005.0,ICRR,Satisfactory,Satisfactory,Highly Satisfactory,Satisfactory,,2006
THIRD EDUCATION,Western and Central Africa,"Gambia, The",IDA,,Other,Human Development,Education,IDA,IPF,1999.0,2005.0,ICRR,Moderately Satisfactory,Unsatisfactory,Satisfactory,Satisfactory,,2006
TECH ASST,Latin America and Caribbean,Uruguay,IBRD,,Other,Other,Other,IBRD,IPF,1987.0,,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1997
HN Fourth Social Investment Fund,Latin America and Caribbean,Honduras,IDA,,Other,Human Development,Social Protection & Jobs,IDA,IPF,1999.0,2003.0,PPAR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Railway Modernization & Restructuring Project,Europe and Central Asia,Croatia,IBRD,,Other,Infrastructure,Transport,IBRD,IPF,1999.0,2005.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
MUNICIPAL INNOVATIONS PROJECT,East Asia and Pacific,Indonesia,IBRD,,Other,Infrastructure,"Urban, Resilience and Land",IBRD,IPF,1999.0,2003.0,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
URBAN POVERTY PROJECT,East Asia and Pacific,Indonesia,IBRD,,Other,Infrastructure,"Urban, Resilience and Land",IDA,IPF,1999.0,2004.0,ICRR,Satisfactory,Satisfactory,Highly Satisfactory,Satisfactory,,2006
Water Resources Sector Adjusment Loan,East Asia and Pacific,Indonesia,IBRD,,Other,Infrastructure,"Urban, Resilience and Land",IBRD,DPF,1999.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
ID-FIFTH HEALTH PROJECT,East Asia and Pacific,Indonesia,IBRD,,Other,Human Development,"Health, Nutrition & Population",IBRD,IPF,1999.0,2005.0,ICRR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,2006
Health Sector Reform,"Middle East, North Africa, Afghanistan, and Pakist",Jordan,IBRD,,Other,Human Development,"Health, Nutrition & Population",IBRD,IPF,1999.0,2005.0,ICRR,Satisfactory,Unsatisfactory,Satisfactory,Unsatisfactory,,2006
Rural Finance 2 Project,Europe and Central Asia,Kyrgyz Republic,IDA,,Other,Sustainable Development,Agriculture and Food,IDA,IPF,1999.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Emergency Recovery & Disaster Management Project,Latin America and Caribbean,St. Lucia,Blend,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,IPF,1999.0,2004.0,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
MUNICIPAL DEVELOPMENT PROJECT,Europe and Central Asia,Lithuania,Other,,Other,Infrastructure,"Urban, Resilience and Land",IBRD,IPF,1999.0,2005.0,ICRR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,2006
Education Improvement Project,Europe and Central Asia,Latvia,Other,,Other,Human Development,Education,IBRD,IPF,1999.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Social Investment Fund,Europe and Central Asia,Moldova,IBRD,,Other,Human Development,Social Protection & Jobs,IDA,IPF,1999.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
STRUCTURAL ADJUSTMENT CREDIT II,Eastern and Southern Africa,Madagascar,IDA,,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,1999.0,2003.0,PPAR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Agricultural Productivity Improvement Project,Latin America and Caribbean,Mexico,IBRD,,Other,Sustainable Development,Agriculture and Food,IBRD,IPF,1999.0,2003.0,PPAR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,2006
TRANSPORT SECTOR PROJECT,Europe and Central Asia,North Macedonia,IBRD,,Other,Infrastructure,Transport,IBRD,IPF,1999.0,2005.0,ICRR,Moderately Satisfactory,Unsatisfactory,Satisfactory,Satisfactory,,2006
MINING SECTOR CAPACITY BUILDING PROJECT,Western and Central Africa,Mauritania,IDA,,Other,Infrastructure,Energy & Extractives,IDA,IPF,1999.0,2005.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
"Nutrition, Food Security, and Social Mobilization Project",Western and Central Africa,Mauritania,IDA,,Other,Human Development,"Health, Nutrition & Population",IDA,IPF,1999.0,2005.0,ICRR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,2006
Education Sector Support Project,East Asia and Pacific,Malaysia,IBRD,,Other,Human Development,Education,IBRD,IPF,1999.0,2005.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
CLOSED(T) STRUCTURAL ADJUSTMENT LOAN,"Middle East, North Africa, Afghanistan, and Pakist",Pakistan,Blend,,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,1999.0,1999.0,PPAR,Moderately Unsatisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Poverty Alleviation Fund,"Middle East, North Africa, Afghanistan, and Pakist",Pakistan,Blend,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,1999.0,2005.0,ICRR,Highly Satisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
PA HEALTH PILOT,Latin America and Caribbean,Panama,IBRD,,Other,Human Development,"Health, Nutrition & Population",IBRD,IPF,1999.0,2005.0,ICRR,Moderately Unsatisfactory,Satisfactory,Satisfactory,Satisfactory,,2006
Private Sector Institution Building Loan (PIBL),Europe and Central Asia,Romania,IBRD,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,IPF,1999.0,2005.0,ICRR,Satisfactory,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,,2006
