project_name,wb_region,country_/_economy,country_/_economy_lending_group,country_/_economy_fcs_status,country_/_economy_fcs_lending_group,practice_group,global_practice,agreement_type,lending_instrument_type,approval_fy,final_closing_fy,evaluation_type,outcome,quality_at_entry,quality_of_supervision,bank_performance,m&e_quality,evaluation_fy,CountryCode,GDP_USD,GDP_per_capita_USD,GDP_growth_pct,Inflation_CPI_pct,Unemployment_pct,Govt_debt_pct_GDP,Current_account_pct_GDP,Population_total
Emergency Disabilities Project,"Middle East, North Africa, Afghanistan, and Pakist",Iraq,IBRD,FCS,IBRD FCS,Human Development,"Health, Nutrition & Population",RETF,IPF,2006,2011.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2012,IRQ,65147051918.0219,2276.55435744086,5.63829915220637,,8.42,,4.11591917217398,28616515.0
Financial Sector Development Policy Loan,"Middle East, North Africa, Afghanistan, and Pakist",Morocco,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,DPF,2006,2007.0,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2012,MAR,75883823300.8545,2438.12646484375,7.7908200104027,,9.67,49.5746100609743,1.85973036169923,30771178.0
MX Modernization of the Water & Sanitation Sector Technical Assistance,Latin America and Caribbean,Mexico,IBRD,non-FCS,IBRD non-FCS,Sustainable Development,Water,IBRD,IPF,2006,2010.0,ICRR,Moderately Satisfactory,Not Evaluated,Not Evaluated,Not Evaluated,Not Evaluated,2012,MEX,1020265057882.01,9512.63575346699,4.80501351664901,3.62946762439132,3.566,,-0.316555541136009,107253666.0
Health and Nutrition Support Project,Western and Central Africa,Mauritania,IDA,non-FCS,IDA non-FCS,Human Development,"Health, Nutrition & Population",IDA,IPF,2006,2011.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Modest,2012,MRT,3919577285.92703,1300.60367988659,18.3331986932345,,9.37,,,3013660.0
Southern Sudan Umbrella Program for Health System Development,Eastern and Southern Africa,South Sudan,IDA,non-FCS,IDA non-FCS,Human Development,"Health, Nutrition & Population",RETF,IPF,2006,2010.0,ICRR,Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Negligible,2012,SSD,,,,,12.267,,,7976526.0
Strengthening the National Statistical System,Europe and Central Asia,Tajikistan,IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,IPF,2006,2011.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2012,TJK,2830213848.6203,401.018403316427,7.00000321108996,10.0108651886462,3.13,,-13.1584118273093,7057566.0
Customs Modernization Project,East Asia and Pacific,Viet Nam,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,IPF,2006,2011.0,ICRR,Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Modest,2012,VNM,66371664817.0436,807.756645117054,6.97795481056711,7.41801715108463,2.046,,-0.246704373698266,82167897.0
"African Regional Capacity Building Network for HIV/AIDS Prevention, Treatment, and Care",Africa,Africa,Other,non-FCS,Other,Human Development,"Health, Nutrition & Population",IDA,IPF,2005,2010.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Unsatisfactory,Unsatisfactory,Modest,2012,,,,,,,,,
Coral Reef Targeted Research and Capacity Building for Management Project,East Asia and Pacific,East Asia and Pacific,Other,non-FCS,Other,Sustainable Development,"Environment, Natural Resources & the Blue Economy",GEF,IPF,2005,2010.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2012,,,,,,,,,
Great Lakes Initiative on HIV/AIDS (GLIA) Support,Africa,Africa,Other,non-FCS,Other,Human Development,"Health, Nutrition & Population",IDA,IPF,2005,2011.0,ICRR,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Modest,2012,,,,,,,,,
Central America HIV/AIDS Project,Latin America and Caribbean,Central America,Other,non-FCS,Other,Human Development,"Health, Nutrition & Population",IDA,IPF,2005,2011.0,ICRR,Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Modest,2012,,,,,,,,,
AF: ARTF-Civil Service Capacity Building,"Middle East, North Africa, Afghanistan, and Pakist",Afghanistan,IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",RETF,IPF,2005,2010.0,ICRR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,Modest,2012,AFG,6203256538.70967,254.184249149336,11.2297148272859,,7.885,,,24404567.0
T.A. II,Latin America and Caribbean,Uruguay,IBRD,non-FCS,Other,Other,Other,IBRD,IPF,1989,,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,1997,,,,,,,,,
Financial Services Development Project,Europe and Central Asia,Azerbaijan,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,2005,2010.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Substantial,2012,AZE,13245421880.834,1578.36733030667,27.9615380685243,,7.26,,1.26319117280894,8391850.0
PERNAMBUCO INTEGRATED DEVELOPMENT:  EDUCATION QUALITY IMPROVEMENT PROJECT,Latin America and Caribbean,Brazil,IBRD,non-FCS,IBRD non-FCS,Human Development,Education,IBRD,IPF,2005,2010.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Modest,2012,BRA,891633839894.183,4827.78173074714,3.20213206130431,6.86953720898965,10.551,,1.30988466560485,184688101.0
Sustainable and Equitable Growth Technical Assistance Program,Latin America and Caribbean,Brazil,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,IPF,2005,2011.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2012,BRA,891633839894.183,4827.78173074714,3.20213206130431,6.86953720898965,10.551,,1.30988466560485,184688101.0
ECONOMIC RECOVERY CREDIT,Western and Central Africa,"Congo, Republic of",Blend,FCS,Blend FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2005,2007.0,PPAR,Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Unsatisfactory,Negligible,2012,,,,,,,,,
"Eritrea HIV/AIDS/STI, TB, Malaria and Reproductive Health Project (HAMSET II)",Eastern and Southern Africa,Eritrea,IDA,FCS,IDA FCS,Human Development,"Health, Nutrition & Population",IDA,IPF,2005,2010.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2012,ERI,1098424685.66169,412.753079199423,2.57444955124846,,5.579,,,2661215.0
ET-ICT Assisted Dev SIM (FY05),Eastern and Southern Africa,Ethiopia,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,2005,2010.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2012,ETH,12401139453.9738,158.243458082465,11.8187659466494,9.96997123512892,2.497,,-12.6419842587598,78367470.0
Emergency Health Project,"Middle East, North Africa, Afghanistan, and Pakist",Iraq,IBRD,non-FCS,IBRD non-FCS,Human Development,"Health, Nutrition & Population",RETF,IPF,2005,2010.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Modest,2012,IRQ,50065104667.8159,1762.39360423421,1.67522863586828,,8.578,,-6.66212529091974,28407448.0
Innovation for Competitiveness 1st phase APL,Latin America and Caribbean,Mexico,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,IPF,2005,2011.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2012,MEX,917571853529.104,8671.75891885163,2.11324711473297,3.98805714597437,3.558,,-0.623534401583354,105811504.0
Business Environment Reform & Institution Strengthening Project,Europe and Central Asia,North Macedonia,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,IPF,2005,2011.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2012,MKD,6258602872.67898,3120.98401394233,4.72408864201974,0.525515950714282,37.32,,-2.54533490974663,2005330.0
Private Sector Development Credit II,East Asia and Pacific,Mongolia,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,2005,2011.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Modest,2012,MNG,2523471601.10421,994.90010913241,7.25366543796015,,7.017,,3.46785355038079,2536407.0
Nepal Health Sector Program Project,South Asia,Nepal,IDA,FCS,IDA FCS,Human Development,"Health, Nutrition & Population",IDA,IPF,2005,2011.0,ICRR,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2012,NPL,8130258377.90964,309.024168339372,3.47918104829496,6.83633265892875,10.617,51.7646230480547,1.88302388576205,26309458.0
PK Banking Sector Development Policy Credit,"Middle East, North Africa, Afghanistan, and Pakist",Pakistan,Blend,non-FCS,Blend non-FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,DPF,2005,2006.0,PPAR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2012,PAK,145208562960.767,827.619861189926,7.2765744364722,,0.585,,-2.48346235681318,175453212.0
PE Irrigation Sub-Sector Supplemental Project,Latin America and Caribbean,Peru,IBRD,non-FCS,IBRD non-FCS,Sustainable Development,Water,IBRD,IPF,2005,2009.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2012,PER,76060606060.6061,2706.66947297608,6.28506032509601,,4.87,,1.50881026119421,28101180.0
Institutional  Capacity for Sustainable Fiscal Decentalization TAL,Latin America and Caribbean,Peru,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,IPF,2005,2011.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2012,PER,76060606060.6061,2706.66947297608,6.28506032509601,,4.87,,1.50881026119421,28101180.0
Energy Community of South East Europe Project (ECSEE APL #1),Europe and Central Asia,Romania,IBRD,non-FCS,IBRD non-FCS,Infrastructure,Energy & Extractives,IBRD,IPF,2005,2010.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Negligible,2012,ROU,98454380120.0761,4618.00350802913,4.6681480508487,9.01491283343835,7.174,,-8.67463205439942,21319685.0
Urgent Electricity Rehabilitation,Eastern and Southern Africa,Rwanda,IDA,non-FCS,IDA non-FCS,Infrastructure,Energy & Extractives,IDA,IPF,2005,2010.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Modest,2012,RWA,2933819766.17656,324.016863847189,9.3778991673686,9.01408918092339,11.854,,,9054528.0
STP Capacity Building and TA,Eastern and Southern Africa,Sao Tome and Principe,IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,IPF,2005,2011.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Satisfactory,Moderately Unsatisfactory,Modest,2012,STP,136450662.390592,844.169181884274,6.61462475033599,,16.47,,-26.5288051595619,161639.0
Local Development Program Support Project,Western and Central Africa,Chad,IDA,FCS,IDA FCS,Infrastructure,"Urban, Resilience and Land",IDA,IPF,2005,2010.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Negligible,2012,TCD,8655892392.92919,838.092107712557,17.3325337350837,,0.678,,,10328092.0
Tunisia Information and Communication Technologies Sector Development Project,"Middle East, North Africa, Afghanistan, and Pakist",Tunisia,IBRD,non-FCS,IBRD non-FCS,Infrastructure,Transport,IBRD,IPF,2005,2011.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Substantial,2012,TUN,32272186694.8043,3146.8260743927,3.4865455430439,,12.872,52.4205297222421,-0.927371928635414,10255472.0
Privatization Social Support Project 2,Europe and Central Asia,Turkiye,IBRD,non-FCS,IBRD non-FCS,Human Development,Social Protection & Jobs,IBRD,IPF,2005,2010.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Modest,2012,TUR,506314717661.655,7303.01388860245,8.99230493626517,8.17916036802001,10.636,,-4.14366781532507,69329557.0
Equal Access to Quality Education in Ukraine Project,Europe and Central Asia,Ukraine,IBRD,non-FCS,IBRD non-FCS,Human Development,Education,IBRD,IPF,2005,2011.0,ICRR,Unsatisfactory,Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Modest,2012,UKR,89238865118.5263,1875.33508300781,3.07123039245209,,7.18,,2.83956995265949,47585556.0
VN-Second Payment System and Bank Modernization Project,East Asia and Pacific,Viet Nam,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,2005,2011.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2012,VNM,57633255738.1992,710.746759994861,7.54724772895918,8.28457243128677,2.078,,-0.971989162897001,81088313.0
THE PAN CARIBBEAN PARTNERSHIP AGAINST HIV/AIDS,Latin America and Caribbean,Caribbean,Other,non-FCS,Other,Human Development,"Health, Nutrition & Population",IDA,IPF,2004,2010.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2012,,,,,,,,,
Emergency Customs Modernization and Trade Facilitation Project,"Middle East, North Africa, Afghanistan, and Pakist",Afghanistan,IDA,FCS,IDA FCS,Infrastructure,Transport,IDA,IPF,2004,2011.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Modest,2012,AFG,5224896718.67782,221.763653873013,1.41411799339429,,7.899,,,23560654.0
Integrated Water & Ecosystems Management Project,Europe and Central Asia,Albania,IBRD,non-FCS,IBRD non-FCS,Sustainable Development,"Environment, Natural Resources & the Blue Economy",GEF,IPF,2004,2010.0,ICRR,Unsatisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Modest,2012,ALB,7406645793.44038,2446.90949947798,5.26626173860785,,16.306,,-4.83249013532298,3026939.0
NATIONAL HIGHWAY ASSET MANAGEMENT,Latin America and Caribbean,Argentina,IBRD,non-FCS,IBRD non-FCS,Infrastructure,Transport,IBRD,IPF,2004,2011.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Substantial,2012,ARG,164657930452.787,4242.02099089422,9.02957330068152,,13.522,,1.95058324319273,38815916.0
Public Sector Modernization Project,Europe and Central Asia,Armenia,IBRD,non-FCS,IBRD non-FCS,"Equitable Growth, Finance and Institutions",Governance,IDA,IPF,2004,2011.0,ICRR,Satisfactory,Moderately Unsatisfactory,Satisfactory,Moderately Satisfactory,Substantial,2012,ARM,3576615240.41616,1130.08791444158,10.4999999988202,,10.617,,-2.20435917633131,3164900.0
Development of the National Statistical System,Western and Central Africa,Burkina Faso,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions",Governance,IDA,IPF,2004,2011.0,ICRR,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2012,BFA,5451688537.60959,403.81283743461,4.47845213670386,,3.473,,,13500533.0
Enterprise Growth & Bank Modernization,South Asia,Bangladesh,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,2004,2011.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Modest,2012,BGD,65108544250.0425,455.614016909798,5.23953291029852,,4.314,,-0.428022753319865,142902856.0
Gansu and Xinjiang Pastoral Development Project,East Asia and Pacific,China,IBRD,non-FCS,IBRD non-FCS,Infrastructure,"Urban, Resilience and Land",IBRD,IPF,2004,2010.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Unsatisfactory,Unsatisfactory,Negligible,2012,CHN,1984196551300.44,1530.92726215723,10.1314073631003,3.8246374310816,4.49,,3.47450259619584,1296075000.0
POST-REUNIFICATION ECONOMIC RECOVERY CREDIT,Eastern and Southern Africa,"Congo, Democratic Republic of",IDA,FCS,IDA FCS,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,2004,2006.0,PPAR,Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Negligible,2012,,,,,,,,,
DRC  Multisectoral HIV/AIDS Project,Eastern and Southern Africa,"Congo, Democratic Republic of",IDA,FCS,IDA FCS,Human Development,"Health, Nutrition & Population",IDA,IPF,2004,2011.0,ICRR,Unsatisfactory,Unsatisfactory,Highly Unsatisfactory,Highly Unsatisfactory,Negligible,2012,,,,,,,,,
Land Administration Program,Latin America and Caribbean,Honduras,IDA,non-FCS,IDA non-FCS,Sustainable Development,Agriculture and Food,IDA,IPF,2004,2010.0,ICRR,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2012,HND,8869299234.3377,1215.13995412761,6.23230296069102,8.1137909709338,5.99,,-7.70512924930615,7298994.0
Poverty Reduction Support Technical Assistance,Latin America and Caribbean,Honduras,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions",Governance,IDA,IPF,2004,2011.0,ICRR,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Negligible,2012,HND,8869299234.3377,1215.13995412761,6.23230296069102,8.1137909709338,5.99,,-7.70512924930615,7298994.0
Enhancing Competitiveness: Trade Facilitation and Productivity Improvement Project,Latin America and Caribbean,Honduras,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,2004,2011.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Negligible,2012,HND,8869299234.3377,1215.13995412761,6.23230296069102,8.1137909709338,5.99,,-7.70512924930615,7298994.0
Nuestras Raices Program,Latin America and Caribbean,Honduras,IDA,non-FCS,IDA non-FCS,Human Development,Social Protection & Jobs,IDA,IPF,2004,2011.0,ICRR,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Negligible,2012,HND,8869299234.3377,1215.13995412761,6.23230296069102,8.1137909709338,5.99,,-7.70512924930615,7298994.0
Road Maintenance Program (Phase 2),East Asia and Pacific,Lao People's Democratic Republic,IDA,non-FCS,IDA non-FCS,Infrastructure,Transport,IDA,IPF,2004,2010.0,ICRR,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Modest,2012,,,,,,,,,
REFINERY MOD/GAS CNV,Latin America and Caribbean,Uruguay,IBRD,non-FCS,Other,Other,Other,IBRD,IPF,1987,,EVM,Satisfactory,Unsatisfactory,Satisfactory,Not Evaluated,Not Evaluated,1996,,,,,,,,,
